website,successful_runs,total_runs_in_batch,streams,screenshots,emails,provider_rows,cost_usd,example_run_id,example_url
ppv.to,6,7,37,38,13,37,1.03440959,e4e13c53-51c1-4a51-b692-800d0f1801db,https://ppv.to/
freeshot.live,4,6,30,45,21,30,1.06497004,ced1568e-78cd-4cc5-a7f6-9de0987416fd,https://freeshot.live/
streamed.pk,4,4,32,32,12,32,1.19603193,3aa22d56-5376-47c0-ac82-f5eb2cf2c763,https://streamed.pk/
pirlotv2.pl,3,4,10,20,5,10,0.80699345,3dcf6267-89ef-4a9b-8f1a-a759e048c330,https://www.pirlotv2.pl/
crichd.at,2,2,7,7,5,7,0.52750999,482b6aff-7a9d-4ff2-aeee-b75a487c2724,https://crichd.at/
la14hd.com,2,2,10,10,4,10,0.32675480,2932ff41-49af-4be3-8288-7c64671a48e8,https://la14hd.com/
watchfooty.st,2,4,14,25,7,14,1.33061239,c79b481f-dd68-4562-bb9b-3fc57a4bb637,https://www.watchfooty.st/en
foothubhd.info,1,2,9,5,4,9,0.11996247,d1c29942-7125-4874-a4db-b2e6f8ceab9c,https://foothubhd.info/
freestreams-live1d.pk,1,1,1,1,1,1,0.03118326,d2b505ba-d365-41b0-a1d1-96a93359205f,https://freestreams-live1d.pk/football-streamz5/
futbollibre.gg,1,1,6,6,4,6,0.25664386,8328c6ff-2fb3-4448-b2da-9149da35aed9,https://futbollibre.gg/
go4kora.co,1,1,7,7,2,7,0.15949084,f27ded0f-26b8-4836-9c0f-b56020e8595d,https://go4kora.co/
go4kora.life,1,2,2,2,1,2,0.12381188,9566a9be-12ba-434a-afa0-f05f529d2403,https://go4kora.life/
livetv.sx,1,1,2,2,2,2,0.63497008,6227b4aa-3e22-4da7-a3b4-fcd85da9764a,https://livetv.sx/enx/
m.livetv.sx,1,1,1,4,1,1,0.10824021,4d6036c3-1508-48c5-baa5-2937793247d5,https://m.livetv.sx/frx/
pirlotv3.pl,1,3,1,2,1,1,0.13411172,36127c0b-3582-4fe8-b3cf-bf8a22c9e0f8,https://pirlotv3.pl/index2.php
streamsports99.su,1,2,4,25,1,4,2.11101703,e4992fa9-880b-48b1-97d3-d56084887ba2,https://streamsports99.su/
streamtp10.com,1,1,5,1,1,5,0.07389585,1ca2c75d-4cd6-4a51-9e27-bc9790a23712,https://streamtp10.com/
