tool,calls,successes,errors,success_rate,avg_duration_seconds
navigate,763,752,11,0.985583,9.7695
memory_lookup,500,496,4,0.992000,0.0171
harvest,394,392,2,0.994924,16.6060
inspect_hosting,264,261,3,0.988636,8.5220
inspect_embedded,162,157,5,0.969136,8.1294
get_page_context,152,152,0,1.000000,4.0728
query_elements,150,149,1,0.993333,3.4512
play_media,123,123,0,1.000000,14.1767
inspect_landing,102,100,2,0.980392,12.4578
inspect,73,72,1,0.986301,12.4254
get_frame_tree,71,71,0,1.000000,3.2796
get_element_detail,45,45,0,1.000000,3.1735
click_element,37,37,0,1.000000,6.4725
click_xpath,32,32,0,1.000000,5.6364
wait_for_page_state,28,28,0,1.000000,5.3235
interact,26,26,0,1.000000,6.6518
get_media_state,21,21,0,1.000000,2.5373
screenshot,15,15,0,1.000000,6.0080
open_url,14,14,0,1.000000,9.1162
click_text,13,13,0,1.000000,5.8459
memory_update,12,12,0,1.000000,0.0166
capture_streams,9,9,0,1.000000,19.5778
scroll_page,5,5,0,1.000000,4.3450
go_back,4,4,0,1.000000,4.0393
click_css,2,2,0,1.000000,8.1980
